N;IMAGEN;DESCRIPCION;U.M;VR UNT PUBLICO;IVA19%;VR CON IVA;DTO%;VR DTO;PRECIO DESCUENTO % + IVA
107;;ESQUINERO SUP TRASERO AUDACE IZQUIERDO;und;$58.824;$11.176;$70.000;6%;$3.529;$55.294
108;;LUZ DE TECHO TRASERA PEQÑA ROJA AUDACE;und;$21.008;$3.992;$25.000;6%;$1.261;$19.748
109;;LUZ LATERAL LED 24V ;und;$35.294;$6.706;$42.000;6%;$2.118;$33.176
110;;LUZ LATERAL BOMBILLO ANDARE  Y PARADISO;und;$12.605;$2.395;$15.000;6%;$756;$11.849
111;;FAROL C/LUZ POCICION SENIOR URBANA ;und;$42.017;$7.983;$50.000;6%;$2.521;$39.496
112;;FAROL S/LUZ POCICION SENIOR URBANA;und;$42.017;$7.983;$50.000;6%;$2.521;$39.496
113;;LUZ AMARILLA 155 MM LED 24V;und;$33.613;$6.387;$40.000;6%;$2.017;$31.597
114;;LUZ ROJA 155 MM LED 24V;und;$33.613;$6.387;$40.000;6%;$2.017;$31.597
115;;LUZ BLANCA 155 MM LED 24V;und;$33.613;$6.387;$40.000;6%;$2.017;$31.597
116;;LUZ ROJA 125 MM 24V SENIOR;und;$29.412;$5.588;$35.000;6%;$1.765;$27.647
117;;DIRECCIONAL LED 95 MM SENIOR 24V;und;$33.613;$6.387;$40.000;6%;$2.017;$31.597
118;;LUZ BLANCA 95 MM SENIOR 24V;und;$33.613;$6.387;$40.000;6%;$2.017;$31.597
119;;EXPLORADORA G7 DER;und;$46.218;$8.782;$55.000;6%;$2.773;$43.445
120;;EXPLORADORA G7 DER;und;$46.218;$8.782;$55.000;6%;$2.773;$43.445
121;;LUZ DIA BOMPER G7 IZQUIERDA;und;$67.227;$12.773;$80.000;6%;$4.034;$63.193
122;;LUZ DIA BOMPER G7 DERECHA;und;$67.227;$12.773;$80.000;6%;$4.034;$63.193
123;;DIRECCIONAL LED ALIMENTADOR DER;und;$79.412;$15.088;$94.500;6%;$4.765;$74.647
124;;DIRECCIONAL LED ALIMENTADOR IZQ;und;$79.412;$15.088;$94.500;6%;$4.765;$74.647
125;;TERCER STOP 24 V ANDARE Y PARADISO;und;$25.210;$4.790;$30.000;6%;$1.513;$23.697
